No,Level,Nama Level,Nama Dokumen,Tentang:,Nomor,Tahun 
1,2,UU dan PERPU,2.1,Cipta Kerja,2,2022
2,2,UU dan PERPU,2.2,PENGGUNAAN DAN PENGAWASAN ATAS PENGGUNAAN  DANA-DANA INVESTASI,7,1962
3,2,UU dan PERPU,2.3,BANK PEMBANGUNAN INDONESIA,21,1960
4,2,UU dan PERPU,2.4,KEBIJAKAN KEUANGAN NEGARA DAN STABILITAS SISTEM KEUANGAN UNTUK PENANGANAN PANDEMI CORONA VIRUS DISEASE 2019 (COVID-19) DAN/ATAU DALAM RANGKA MENGHADAPI ANCAMAN YANG MEMBAHAYAKAN PEREKONOMIAN NASIONAL DAN/ATAU STABILITAS SISTEM KEUANGAN,1,2020
5,2,UU dan PERPU,2.5,ANGGARAN PENDAPATAN DAN BELANJA NEGARA TAHUN ANGGARAN 2021,9,2020
6,2,UU dan PERPU,2.6,BADAN PENYELENGGARA JAMINAN SOSIAL,24,2011
7,2,UU dan PERPU,2.7,PERBENDAHARAAN NEGARA,1,2004
8,2,UU dan PERPU,2.8,TABUNGAN PERUMAHAN RAKYAT,4,2016
9,2,UU dan PERPU,2.9,PASAR MODAL,8,1995
10,2,UU dan PERPU,2.1,PENERIMAAN NEGARA BUKAN PAJAK,9,2018
11,2,UU dan PERPU,2.11,PENGAMPUNAN PAJAK,11,2016
12,2,UU dan PERPU,2.12,KETENTUAN-KETENTUAN POKOK BANK PEMBANGUNAN DAERAH.,13,1962
13,2,UU dan PERPU,2.13,PERBANKAN SYARIAH,21,2008
14,2,UU dan PERPU,2.14,PERTANGGUNGJAWABAN ATAS PELAKSANAAN ANGGARAN PENDAPATAN DAN BELANJA NEGARA TAHUN ANGGARAN 2004,22,2006
15,2,UU dan PERPU,2.15,LEMBAGA PENJAMIN SIMPANAN,24,2004
16,2,UU dan PERPU,2.16,ANGGARAN PENDAPATAN DAN BELANJA NEGARA TAHUN ANGGARAN 2015,27,2014
17,2,UU dan PERPU,2.17,PERIMBANGAN KEUANGAN ANTARA PEMERINTAH PUSAT DAN PEMERINTAHAN DAERAH,33,2004
18,2,UU dan PERPU,2.18,PERASURANSIAN,40,2014
19,2,UU dan PERPU,2.19,PERTAMBANGAN MINERAL DAN BATUBARA,4,2009
20,2,UU dan PERPU,2.2,DANA PERTANGGUNGAN WAJIB KECELAKAAN LALU-LINTAS JALAN,34,1964
21,2,UU dan PERPU,2.21,KEHUTANAN,41,1999
